epoch,train/box_loss,train/obj_loss,train/cls_loss,train/rank_loss,TP,FP,FN,F1,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,val/rank_loss,x/lr0,x/lr1,x/lr2,MR_all,MR_day,MR_night,MR_near,MR_medium,MR_far,MR_none,MR_partial,MR_heavy,Recall_all
0,0.080843,0.0566165,0,0,969,3964,2393,0.233624,0.196417,0.288221,0.126533,0.0365895,0.034948,0.00888048,0,0,0.00332654,0.00332654,0.0700611,0,0,0,0,0,0,0,0,0,0
1,0.053693,0.00767145,0,0,1498,1138,1864,0.499591,0.568345,0.445677,0.455108,0.150998,0.0268866,0.00720682,0,0,0.0066584,0.0066584,0.0400596,0,0,0,0,0,0,0,0,0,0
2,0.0522848,0.00690128,0,0,653,1402,2709,0.241085,0.317735,0.19423,0.143271,0.0461688,0.0342236,0.00847507,0,0,0.00998434,0.00998434,0.0100522,0,0,0,0,0,0,0,0,0,0
3,0.0509598,0.00676218,0,0,1174,992,2188,0.42478,0.542122,0.349197,0.332115,0.109369,0.0304777,0.00648974,0,0,0.00998003,0.00998003,0.00998003,0,0,0,0,0,0,0,0,0,0
4,0.0476469,0.00624363,0,0,1465,981,1897,0.504469,0.598932,0.435744,0.447379,0.172288,0.0266344,0.00630558,0,0,0.00998003,0.00998003,0.00998003,0,0,0,0,0,0,0,0,0,0
5,0.0455872,0.00621568,0,0,1297,1171,2065,0.444973,0.525618,0.385782,0.38796,0.152371,0.0266007,0.00641054,0,0,0.00996452,0.00996452,0.00996452,0,0,0,0,0,0,0,0,0,0
6,0.0445151,0.0060445,0,0,1615,961,1747,0.543898,0.626908,0.480301,0.491437,0.171462,0.0253678,0.00584573,0,0,0.0099446,0.0099446,0.0099446,0,0,0,0,0,0,0,0,0,0
7,0.0421392,0.00580262,0,0,1793,504,1569,0.633707,0.780663,0.533314,0.589698,0.242937,0.0234762,0.00550278,0,0,0.00992029,0.00992029,0.00992029,0,0,0,0,0,0,0,0,0,0
8,0.0415255,0.00548647,0,0,1973,511,1389,0.675048,0.79444,0.586853,0.631825,0.259796,0.0232069,0.00513138,0,0,0.00989163,0.00989163,0.00989163,0,0,0,0,0,0,0,0,0,0
9,0.0401773,0.00535009,0,0,2000,577,1362,0.673414,0.776057,0.594751,0.62542,0.23685,0.0233403,0.00498762,0,0,0.00985862,0.00985862,0.00985862,0,0,0,0,0,0,0,0,0,0
10,0.0391246,0.00511741,0,0,1932,483,1430,0.668971,0.80004,0.574802,0.625302,0.25945,0.0229,0.00492515,0,0,0.00982132,0.00982132,0.00982132,0,0,0,0,0,0,0,0,0,0
11,0.0398574,0.00517918,0,0,1895,488,1467,0.659662,0.795095,0.563653,0.623303,0.237999,0.0227117,0.00482233,0,0,0.00977975,0.00977975,0.00977975,0,0,0,0,0,0,0,0,0,0
12,0.0386486,0.00497428,0,0,2077,356,1285,0.716812,0.853675,0.61777,0.691188,0.292011,0.0218364,0.00438959,0,0,0.00973396,0.00973396,0.00973396,0,0,0,0,0,0,0,0,0,0
13,0.0382627,0.00486088,0,0,2043,566,1319,0.684282,0.783049,0.60764,0.604374,0.221084,0.022376,0.00451838,0,0,0.00968399,0.00968399,0.00968399,0,0,0,0,0,0,0,0,0,0
14,0.0377218,0.00468525,0,0,2058,576,1304,0.686507,0.781448,0.612136,0.643365,0.249446,0.0229612,0.00434517,0,0,0.0096299,0.0096299,0.0096299,0,0,0,0,0,0,0,0,0,0
15,0.0370147,0.00452308,0,0,2178,338,1184,0.741109,0.865772,0.647829,0.716733,0.303957,0.0214128,0.00413245,0,0,0.00957172,0.00957172,0.00957172,0,0,0,0,0,0,0,0,0,0
16,0.0372003,0.00460098,0,0,2192,411,1170,0.734923,0.842024,0.651993,0.704895,0.268153,0.0222176,0.00399827,0,0,0.00950953,0.00950953,0.00950953,0,0,0,0,0,0,0,0,0,0
17,0.0368816,0.00452805,0,0,2095,303,1267,0.727413,0.873641,0.623117,0.700112,0.287967,0.0219836,0.00422459,0,0,0.00944338,0.00944338,0.00944338,0,0,0,0,0,0,0,0,0,0
18,0.0381741,0.00461643,0,0,2041,331,1321,0.712003,0.860484,0.607223,0.680365,0.262912,0.0224107,0.00426138,0,0,0.00937334,0.00937334,0.00937334,0,0,0,0,0,0,0,0,0,0
19,0.037105,0.0044633,0,0,2200,352,1162,0.744033,0.862078,0.654423,0.732407,0.324376,0.0207026,0.00401121,0,0,0.00929948,0.00929948,0.00929948,0,0,0,0,0,0,0,0,0,0
20,0.0357649,0.00433832,0,0,2272,480,1090,0.743279,0.825602,0.675885,0.725795,0.304648,0.0209494,0.00383333,0,0,0.00922186,0.00922186,0.00922186,0,0,0,0,0,0,0,0,0,0
21,0.0360253,0.00430996,0,0,2305,367,1057,0.764011,0.862668,0.685604,0.748488,0.331914,0.0204789,0.00391541,0,0,0.00914058,0.00914058,0.00914058,0,0,0,0,0,0,0,0,0,0
22,0.0352427,0.00422236,0,0,2286,411,1076,0.754559,0.847557,0.679952,0.741985,0.333153,0.0204855,0.00384718,0,0,0.0090557,0.0090557,0.0090557,0,0,0,0,0,0,0,0,0,0
23,0.0355789,0.0041541,0,0,2168,387,1194,0.732784,0.84848,0.644854,0.720582,0.317448,0.0208989,0.00397204,0,0,0.00896731,0.00896731,0.00896731,0,0,0,0,0,0,0,0,0,0
24,0.034159,0.00409104,0,0,2438,396,924,0.786995,0.860277,0.725218,0.787161,0.375178,0.0193368,0.00361536,0,0,0.0088755,0.0088755,0.0088755,0,0,0,0,0,0,0,0,0,0
25,0.0338454,0.00395726,0,0,2441,307,921,0.799075,0.888422,0.726056,0.788466,0.358487,0.0197064,0.00356173,0,0,0.00878036,0.00878036,0.00878036,0,0,0,0,0,0,0,0,0,0
26,0.0332055,0.00398932,0,0,2377,345,985,0.781345,0.873244,0.706947,0.771731,0.343159,0.0201846,0.00364617,0,0,0.00868198,0.00868198,0.00868198,0,0,0,0,0,0,0,0,0,0
27,0.0335798,0.00399059,0,0,2434,557,928,0.766329,0.813799,0.724092,0.767382,0.349005,0.0197025,0.00359218,0,0,0.00858046,0.00858046,0.00858046,0,0,0,0,0,0,0,0,0,0
28,0.034069,0.00408428,0,0,2444,431,918,0.783764,0.850213,0.726948,0.777828,0.357345,0.0196556,0.00360319,0,0,0.0084759,0.0084759,0.0084759,0,0,0,0,0,0,0,0,0,0
29,0.0334491,0.00389774,0,0,2463,239,899,0.812398,0.911557,0.732695,0.801305,0.37754,0.0190807,0.00343591,0,0,0.00836841,0.00836841,0.00836841,0,0,0,0,0,0,0,0,0,0
30,0.0334761,0.00388821,0,0,2433,264,929,0.803118,0.902153,0.723676,0.791944,0.368191,0.0194238,0.00340162,0,0,0.00825808,0.00825808,0.00825808,0,0,0,0,0,0,0,0,0,0
31,0.0336773,0.00387401,0,0,2455,286,907,0.804552,0.895664,0.730266,0.801693,0.371072,0.0193847,0.00345627,0,0,0.00814503,0.00814503,0.00814503,0,0,0,0,0,0,0,0,0,0
32,0.0335616,0.00383212,0,0,2473,362,889,0.798087,0.872301,0.735511,0.803252,0.374651,0.0193651,0.00345303,0,0,0.00802938,0.00802938,0.00802938,0,0,0,0,0,0,0,0,0,0
33,0.032631,0.00376845,0,0,2559,349,803,0.816233,0.879979,0.7611,0.810468,0.388556,0.0188994,0.00334023,0,0,0.00791122,0.00791122,0.00791122,0,0,0,0,0,0,0,0,0,0
34,0.0321265,0.0036991,0,0,2540,282,822,0.821507,0.900147,0.755503,0.817,0.383205,0.0188817,0.00336384,0,0,0.00779069,0.00779069,0.00779069,0,0,0,0,0,0,0,0,0,0
35,0.0313875,0.00364446,0,0,2584,302,778,0.82716,0.89536,0.768615,0.821089,0.392697,0.0187404,0.00324978,0,0,0.00766789,0.00766789,0.00766789,0,0,0,0,0,0,0,0,0,0
36,0.0324454,0.00370656,0,0,2519,225,843,0.825036,0.917995,0.749173,0.820627,0.391763,0.0187366,0.00332016,0,0,0.00754296,0.00754296,0.00754296,0,0,0,0,0,0,0,0,0,0
37,0.0312298,0.00363459,0,0,2621,227,741,0.844119,0.920294,0.77959,0.841332,0.405056,0.0185675,0.0031095,0,0,0.00741601,0.00741601,0.00741601,0,0,0,0,0,0,0,0,0,0
38,0.0319944,0.00364035,0,0,2613,274,749,0.83624,0.905082,0.777131,0.833871,0.403206,0.0184344,0.00316552,0,0,0.00728717,0.00728717,0.00728717,0,0,0,0,0,0,0,0,0,0
39,0.0319542,0.00361738,0,0,2667,252,695,0.849175,0.913546,0.793278,0.844891,0.400421,0.0185032,0.00313448,0,0,0.00715656,0.00715656,0.00715656,0,0,0,0,0,0,0,0,0,0
40,0.0312401,0.00354014,0,0,2635,239,727,0.845053,0.916834,0.783695,0.847541,0.408897,0.0182954,0.00306751,0,0,0.00702432,0.00702432,0.00702432,0,0,0,0,0,0,0,0,0,0
41,0.0309557,0.00353235,0,0,2641,215,721,0.849468,0.92472,0.785542,0.846272,0.418604,0.0181249,0.00308389,0,0,0.00689058,0.00689058,0.00689058,0,0,0,0,0,0,0,0,0,0
42,0.0302731,0.00351104,0,0,2702,235,660,0.857911,0.919986,0.803683,0.85585,0.42207,0.0178966,0.00306538,0,0,0.00675546,0.00675546,0.00675546,0,0,0,0,0,0,0,0,0,0
