               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092636,            0.007294,                   0,                   0,                   0,                   0,                   0,            0.079254,           0.0057828,                   0,           0.0033198,           0.0033198,            0.070122
                   1,            0.074362,           0.0084203,                   0,            0.021314,            0.013385,           0.0031183,          0.00077926,            0.086318,            0.014551,                   0,           0.0065873,           0.0065873,            0.040056
                   2,            0.063958,           0.0088135,                   0,            0.095033,             0.10648,            0.032344,           0.0088837,            0.060532,           0.0060377,                   0,           0.0097887,           0.0097887,           0.0099242
                   3,            0.060323,           0.0079556,                   0,             0.16066,              0.1978,            0.069091,            0.022984,             0.05745,           0.0051394,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057559,           0.0065294,                   0,             0.15242,             0.23022,            0.073772,            0.027951,            0.055103,           0.0046395,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.056434,           0.0054707,                   0,              0.5629,             0.37348,             0.34586,             0.12167,            0.055843,           0.0040765,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.055077,            0.004947,                   0,              0.2403,             0.18352,             0.12526,              0.0396,             0.06397,            0.004147,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054216,           0.0046598,                   0,             0.64263,             0.45122,             0.45918,             0.16262,            0.051739,           0.0034702,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.05377,           0.0045545,                   0,             0.69472,             0.47382,             0.46825,             0.16695,            0.053009,           0.0037151,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.05265,           0.0044383,                   0,             0.54701,             0.47878,              0.4302,             0.16332,            0.050422,           0.0034935,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052219,           0.0043472,                   0,             0.75155,             0.44527,             0.48455,             0.18244,            0.051069,            0.002985,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051698,           0.0042968,                   0,             0.61261,             0.45033,             0.43561,              0.1601,            0.054247,           0.0030538,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.051282,           0.0042216,                   0,              0.7633,             0.51338,             0.54373,             0.20267,            0.051399,           0.0029404,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.050554,           0.0041189,                   0,             0.67816,             0.47633,             0.49977,             0.18234,            0.051009,           0.0030404,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.050347,           0.0040538,                   0,             0.51935,             0.32838,             0.34039,             0.12981,            0.053685,           0.0035665,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.050358,           0.0040354,                   0,             0.75315,             0.52816,             0.56295,             0.23106,            0.049347,           0.0032156,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.049807,           0.0041825,                   0,             0.75407,             0.52677,             0.55013,             0.20283,             0.04959,           0.0028894,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.049217,           0.0039389,                   0,             0.76475,              0.5467,             0.55832,             0.21336,            0.049719,           0.0032903,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.048751,           0.0038723,                   0,             0.69009,             0.45181,             0.47799,             0.17606,            0.051231,           0.0032403,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.048655,           0.0038288,                   0,              0.7657,             0.54551,             0.56204,              0.2132,            0.049514,           0.0030715,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.048837,           0.0037418,                   0,             0.77836,             0.53956,             0.57166,             0.21947,            0.049763,           0.0030428,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.048337,           0.0037347,                   0,             0.77428,             0.50327,             0.54122,             0.20901,             0.05118,           0.0027411,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.047646,           0.0037552,                   0,             0.81479,             0.58491,             0.64607,             0.26329,             0.04761,           0.0026736,                   0,            0.007921,            0.007921,            0.007921
